time,source,destination,protocol,length
2026-05-04T15:29:26,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:26,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:26,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:26,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:26,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:26,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:26,172.64.155.209,10.144.69.242,TCP,186
2026-05-04T15:29:26,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:26,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:26,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:27,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:27,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:27,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:27,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:27,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:27,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:27,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:28,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:28,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:28,10.144.69.242,162.159.129.233,TCP,55
2026-05-04T15:29:28,162.159.129.233,10.144.69.242,TCP,66
2026-05-04T15:29:28,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:28,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:28,172.64.155.209,10.144.69.242,TCP,170
2026-05-04T15:29:28,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:28,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:28,140.82.114.25,10.144.69.242,TCP,80
2026-05-04T15:29:28,10.144.69.242,140.82.114.25,TCP,84
2026-05-04T15:29:28,140.82.114.25,10.144.69.242,TCP,56
2026-05-04T15:29:28,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:28,172.64.155.209,10.144.69.242,TCP,202
2026-05-04T15:29:28,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:28,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:29,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:29,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:29,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:29,172.64.155.209,10.144.69.242,TCP,178
2026-05-04T15:29:29,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:29,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:29,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:29,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:30,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:30,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:30,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:30,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:30,172.64.155.209,10.144.69.242,TCP,210
2026-05-04T15:29:30,172.212.135.15,10.144.69.242,TCP,158
2026-05-04T15:29:30,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:30,10.144.69.242,172.212.135.15,TCP,54
2026-05-04T15:29:30,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:30,172.64.155.209,10.144.69.242,TCP,178
2026-05-04T15:29:30,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:30,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:30,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:31,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:31,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:31,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:31,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:31,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:31,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,610
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,1440
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,561
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,56
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,56
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,56
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,56
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,56
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,56
2026-05-04T15:29:31,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,493
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,132
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:31,10.144.69.242,129.65.16.254,UDP,74
2026-05-04T15:29:31,129.65.16.254,10.144.69.242,UDP,90
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,66
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,66
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,54
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,584
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,1440
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,60
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,1440
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,368
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,54
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,128
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,451
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,133
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,133
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,56
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,54
2026-05-04T15:29:31,172.64.155.209,10.144.69.242,TCP,130
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,1440
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,361
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,54
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,94
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,94
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,54
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,78
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,56
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,56
2026-05-04T15:29:31,10.144.69.242,140.82.116.6,TCP,54
2026-05-04T15:29:31,140.82.116.6,10.144.69.242,TCP,56
2026-05-04T15:29:31,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:32,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:32,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:32,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:32,52.107.247.1,10.144.69.242,TCP,79
2026-05-04T15:29:32,10.144.69.242,52.107.247.1,TCP,83
2026-05-04T15:29:32,172.64.155.209,10.144.69.242,TCP,202
2026-05-04T15:29:32,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:32,52.107.247.1,10.144.69.242,TCP,56
2026-05-04T15:29:32,172.64.155.209,10.144.69.242,TCP,146
2026-05-04T15:29:32,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:32,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:32,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:32,172.64.155.209,10.144.69.242,TCP,146
2026-05-04T15:29:32,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:32,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:29:33,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:33,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:33,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:33,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:33,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:33,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:29:33,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:33,172.212.135.15,10.144.69.242,TCP,81
2026-05-04T15:29:34,10.144.69.242,172.212.135.15,TCP,54
2026-05-04T15:29:34,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:34,10.144.69.242,98.89.14.24,TCP,126
2026-05-04T15:29:34,10.144.69.242,98.89.14.24,TCP,403
2026-05-04T15:29:34,98.89.14.24,10.144.69.242,TCP,56
2026-05-04T15:29:34,98.89.14.24,10.144.69.242,TCP,414
2026-05-04T15:29:34,10.144.69.242,98.89.14.24,TCP,54
2026-05-04T15:29:34,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:34,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:35,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:35,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:35,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:29:35,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:29:35,142.251.219.10,10.144.69.242,TCP,138
2026-05-04T15:29:35,10.144.69.242,142.251.219.10,TCP,54
2026-05-04T15:29:35,172.64.155.209,10.144.69.242,TCP,186
2026-05-04T15:29:35,10.144.69.242,172.64.155.209,TCP,54
2026-05-04T15:30:38,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:30:38,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:30:38,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:30:38,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:30:38,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:30:38,10.144.69.242,162.159.130.234,TCP,172
2026-05-04T15:30:38,162.159.130.234,10.144.69.242,TCP,56
2026-05-04T15:30:38,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:30:38,162.159.130.234,10.144.69.242,TCP,88
2026-05-04T15:30:38,10.144.69.242,162.159.130.234,TCP,54
2026-05-04T15:30:39,10.144.69.242,172.212.135.15,TCP,85
2026-05-04T15:30:39,172.212.135.15,10.144.69.242,TCP,56
2026-05-04T15:30:39,10.144.255.250,239.255.255.250,OTHER,64
2026-05-04T15:30:39,10.144.69.242,239.255.255.250,OTHER,46
2026-05-04T15:30:39,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:30:39,10.144.255.250,239.255.255.250,OTHER,60
2026-05-04T15:30:39,10.144.69.242,239.255.255.250,OTHER,46
